,Ingredient,Pre,NER+Post,NER-Amount,Normalization,Def,Freq
863,50 g di uvetta,50 g di uvetta,uvetta,50 g,uvetta,uvetta,220
864,40 g di pinoli,40 g di pinoli,pinoli,40 g,pinoli,pinoli,392
865,1/2 cucchiaino di cannella in polvere,1/2 cucchiaino di cannella,cannella,1/2 cucchiaino,cannella,cannella,499
866,100 gr di manzo,100 gr di manzo,manzo,100 gr,manzo,carne di bovino,492
867,100 gr di vitello,100 gr di vitello,vitello,100 gr,vitello,carne di bovino,492
868,100 gr di maiale,100 gr di maiale,maiale,100 gr,maiale,carne di suino,202
869,100 gr di pancetta,100 gr di pancetta,pancetta,100 gr,pancetta,pancetta,245
870,1 vino rosso,1 vino rosso,vino rosso,1,vino rosso,vino rosso,219
871,3 cucchiai salsa di pomodoro,3 cucchiai salsa di pomodoro,salsa di pomodoro,3 cucchiai,salsa di pomodoro,salsa di pomodoro,90
872,1 tazza di brodo,1 tazza di brodo,brodo,1 tazza,brodo,brodo,215
873,320 gr di farina 00,320 gr di farina 00,farina,320 gr,farina,farina,2121
874,170 gr di burro,170 gr di burro,burro,170 gr,burro,burro,4606
875,200 gr di montasio fresco grattugiato,200 gr di montasio fresco grattugiato,montasio fresco,200 gr,montasio,montasio,25
876,100 gr di montasio stagionato grattugiato,100 gr di montasio stagionato grattugiato,montasio stagionato,100 gr,montasio,montasio,25
877,120 gr di ricotta fresca,120 gr di ricotta fresca,ricotta fresca,120 gr,ricotta fresca,ricotta,324
878,150 gr di prosciutto san daniele,150 gr di prosciutto san daniele,prosciutto san daniele,150 gr,prosciutto,prosciutto crudo,182
879,1 ciuffetto di menta,1 ciuffetto di menta,menta,1,menta,menta,533
880,2 pomodori,2 pomodori,pomodori,2,pomodori,pomodori,634
881,320 gr di farina di mais,320 gr di farina di mais,farina di mais,320 gr,farina di mais,farina di mais,144
882,110 gr di burro,110 gr di burro,burro,110 gr,burro,burro,4606
883,180 gr di formaggio montasio o carnico semistagionato,180 gr di formaggio montasio,formaggio montasio,180 gr,formaggio,montasio,25
884,350 g di farina 00,350 g di farina 00,farina,350 g,farina,farina,2121
885,"12,5 g di lievito di birra secco","12,5 g di lievito di birra secco",lievito di birra secco,"12,5 g",lievito di birra secco,lievito di birra,364
886,250 g di burro,250 g di burro,burro,250 g,burro,burro,4606
887,350 g di zucchero,350 g di zucchero,zucchero,350 g,zucchero,zucchero,4949
888,20 ml di latte,20 ml di latte,latte,20 ml,latte,latte,2242
889,20 ml di rum,20 ml di rum,rum,20 ml,rum,rum,218
890,10 ml di acqua,10 ml di acqua,acqua,10 ml,acqua,acqua,1976
891,2 dl di crema di latte,2 dl di crema di latte,crema di latte,2 dl,crema,crema,25
892,cognac,cognac,cognac,,cognac,cognac,64
893,350 gr di spinaci,350 gr di spinaci,spinaci,350 gr,spinaci,spinaci,245
894,200 gr di fagioli cannellini,200 gr di fagioli cannellini,fagioli cannellini,200 gr,fagioli cannellini,fagioli cannellini,61
895,150 gr di polpa di pomodoro,150 gr di polpa di pomodoro,polpa di pomodoro,150 gr,polpa di pomodoro,polpa di pomodoro,49
896,800 g di calamari,800 g di calamari,calamari,800 g,calamari,calamari,102
897,2 bicchieri di vino bianco secco,2 bicchieri di vino bianco secco,vino bianco secco,2 bicchieri,vino bianco secco,vino bianco,1177
898,4 olio di extravergine di oliva,4 olio di extravergine di oliva,extravergine di oliva,4 olio,extravergine di oliva,olio extravergine d'oliva,4337
899,4 fette di pane,4 fette di pane,pane,4 fette,pane,pane,363
900,2 kg di coda di bue,2 kg di coda di bue,coda di bue,2 kg,coda di bue,coda di manzo,8
901,1 foglia di lauro,1 foglia di lauro,lauro,1 foglia,lauro,lauro,1
902,2 cucchiai di olio,2 cucchiai di olio,olio,2 cucchiai,olio,olio,2191
903,1 cucchiaio di pinoli,1 cucchiaio di pinoli,pinoli,1 cucchiaio,pinoli,pinoli,392
904,1 cucchiaio di uva saltanina,1 cucchiaio di uva saltanina,uva saltanina,1 cucchiaio,uva,uva passa,87
905,1 kg di polpa di pomodoro,1 kg di polpa di pomodoro,polpa di pomodoro,1 kg,polpa di pomodoro,polpa di pomodoro,49
906,"1,5 kg di cuore di sedano","1,5 kg di cuore di sedano",cuore di sedano,"1,5 kg",cuore di sedano,sedano,796
907,125 gr di prociutto,125 gr di prociutto,prociutto,125 gr,prociutto,prosciutto,22
908,1 cipollina,1 cipollina,cipollina,1,cipollina,cipolle borettane,103
909,100 gr di mozzarella,100 gr di mozzarella,mozzarella,100 gr,mozzarella,mozzarella,264
910,50 gr di parmigiano,50 gr di parmigiano,parmigiano,50 gr,parmigiano,parmigiano reggiano dop,1291
911,250 gr di passata di pomodoro,250 gr di passata di pomodoro,passata di pomodoro,250 gr,passata di pomodoro,passata di pomodoro,374
912,40 gr di farina,40 gr di farina,farina,40 gr,farina,farina,2121
913,800 gr di patate,800 gr di patate,patate,800 gr,patate,patate,1000
914,60 gr di lardo,60 gr di lardo,lardo,60 gr,lardo,lardo,114
915,1 mestolo di brodo,1 mestolo di brodo,di brodo,1 mestolo,dischetti di pasta,di brodo,1
916,800 gr di spezzatino di manzo,800 gr di spezzatino di manzo,manzo,800 gr,manzo,carne di bovino,492
917,70 gr di lardo,70 gr di lardo,lardo,70 gr,lardo,lardo,114
918,1/2 kg di cipolle affettate,1/2 kg di cipolle affettate,cipolle affettate,1/2 kg,cipolle,cipolla,1415
919,2 cucchiai di concentrato di pomodoro,2 cucchiai di concentrato di pomodoro,concentrato di pomodoro,2 cucchiai,concentrato di pomodoro,concentrato di pomodoro,192
920,brodo,brodo,brodo,,brodo,brodo,215
921,paprika in polvere,paprika,paprika,,paprika,paprika,272
922,1 foglia di alloro,1 foglia di alloro,alloro,1 foglia,alloro,alloro,451
923,600 gr di farina,600 gr di farina,farina,600 gr,farina,farina,2121
924,1 bustina di lievito,1 bustina di lievito,lievito,1 bustina,lievito,lievito,994
925,1 bustina di zucchero vanigliato,1 bustina di zucchero vanigliato,zucchero vanigliato,1 bustina,zucchero vanigliato,zucchero vanigliato,26
926,100 gr di farina,100 gr di farina,farina,100 gr,farina,farina,2121
927,200 gr di zucchero,200 gr di zucchero,zucchero,200 gr,zucchero,zucchero,4949
928,1 cucchiaio di fecola di patate,1 cucchiaio di fecola di patate,fecola di patate,1 cucchiaio,fecola di patate,fecola di patate,233
929,3 limoni,3 limoni,limoni,3,limoni,limone,1394
930,vaniglia,vaniglia,vaniglia,,vaniglia,baccello di vaniglia,845
931,1 kg di seppie,1 kg di seppie,seppie,1 kg,seppie,seppie,40
932,600 gr di piselli,600 gr di piselli,piselli,600 gr,piselli,piselli,302
933,400 gr di salsa di pomodoro,400 gr di salsa di pomodoro,salsa di pomodoro,400 gr,salsa di pomodoro,salsa di pomodoro,90
934,600 g di alici fresche,600 g di alici fresche,alici,600 g,alici,alici,44
935,250 g di pangrattato,250 g di pangrattato,pangrattato,250 g,pangrattato,pangrattato,834
936,1 kg di spinaci,1 kg di spinaci,spinaci,1 kg,spinaci,spinaci,245
937,70 gr di farina 00,70 gr di farina 00,farina,70 gr,farina,farina,2121
938,70 gr di burro,70 gr di burro,burro,70 gr,burro,burro,4606
939,"2,5 kg di melanzane","2,5 kg di melanzane",melanzane,"2,5 kg",melanzane,melanzane,295
940,2 l di aceto di puro vino,2 l di aceto di puro vino,aceto di vino,2 l,aceto di vino,aceto,528
941,10 foglie d'alloro per la bollitura,10 foglie d'alloro,alloro,10 foglie,alloro,alloro,451
942,1 manciata di grani di pepe nero,1 manciata di grani di pepe nero,pepe nero,1 manciata,pepe nero,pepe,5844
943,5 spicchi d’aglio,5 spicchi d’aglio,,5 spicchi,,,
944,1 l di olio extravergine d’oliva,1 l di olio extravergine d’oliva,olio extravergine d'oliva,1 l,olio extravergine d'oliva,olio extravergine d'oliva,4337
945,400 gr di ricotta di pecora,400 gr di ricotta di pecora,ricotta di pecora,400 gr,ricotta di pecora,ricotta di pecora,63
946,200 gr di pangrattato,200 gr di pangrattato,pangrattato,200 gr,pangrattato,pangrattato,834
947,600 g di totani,600 g di totani,totani,600 g,totani,totani,16
948,600 kg di patate,600 kg di patate,patate,600 kg,patate,patate,1000
949,100 gr di pomodorini,100 gr di pomodorini,pomodorini,100 gr,pomodorini,pomodorini,142
950,"1 branzino da 1,6 kg circa","1 branzino da 1,6 kg circa",branzino,1,branzino,branzino,39
951,500 g di pomodori maturi,500 g di pomodori maturi,pomodori,500 g,pomodori,pomodori,634
952,600 g di patate,600 g di patate,patate,600 g,patate,patate,1000
953,50 g di pinoli,50 g di pinoli,pinoli,50 g,pinoli,pinoli,392
954,40 g di uvetta,40 g di uvetta,uvetta,40 g,uvetta,uvetta,220
955,50 g di olive nere al forno,50 g di olive nere al forno,olive nere,50 g,olive nere,olive nere,244
956,200 g di spinaci,200 g di spinaci,spinaci,200 g,spinaci,spinaci,245
957,6 fettine di pesce spada,6 fettine di pesce spada,pesce spada,6 fettine,pesce spada,pesce spada,66
958,60 g di pecorino,60 g di pecorino,pecorino,60 g,pecorino,pecorino,519
959,10 fette di pancarrè,10 fette di pancarrè,pancarrè,10 fette,pancarrè,pancarrè,96
960,120 g di olive di gaeta,120 g di olive di gaeta,olive di gaeta,120 g,olive di gaeta,olive di gaeta,13
961,8 pomodorini,8 pomodorini,pomodorini,8,pomodorini,pomodorini,142
962,400 g di farina di castagne,400 g di farina di castagne,farina di castagne,400 g,farina di castagne,farina di castagne,38
963,80 g di uvetta sultanina,80 g di uvetta sultanina,uvetta sultanina,80 g,uvetta sultanina,uva passa,87
964,50 g di zucchero,50 g di zucchero,zucchero,50 g,zucchero,zucchero,4949
965,1 cucchiaio di semi di finocchio,1 cucchiaio di semi di finocchio,semi di finocchio,1 cucchiaio,semi di finocchio,semi di finocchio,76
966,1/2 bicchiere di olio extra vergine d'oliva,1/2 bicchiere di olio extra vergine d'oliva,olio extra vergine d'oliva,1/2 bicchiere,olio,olio extravergine d'oliva,4337
967,16 gamberoni,16 gamberoni,gamberoni,16,gamberoni,gamberoni,28
968,16 fette di prosciutto crudo dolce,16 fette di prosciutto crudo dolce,prosciutto crudo dolce,16 fette,prosciutto crudo dolce,prosciutto crudo,182
969,4 rametti di rosmarino,4 rametti di rosmarino,rosmarino,4 rametti,rosmarino,rosmarino,850
970,400 gr di vermicelli,400 gr di vermicelli,vermicelli,400 gr,vermicelli,vermicelli,11
971,6 tuorli,6 tuorli,tuorli,6,tuorli,tuorli,1385
972,"1,2 kg di pesce misto (scorfano, orata, cernia, triglia, san pietro, branzino…)","1,2 kg di pesce misto",pesce misto,"1,2 kg",pesce misto,pesce,29
973,300 g di vongole,300 g di vongole,vongole,300 g,vongole,vongole,83
974,300 g di cozze,300 g di cozze,cozze,300 g,cozze,cozze,115
975,100 g di gamberetti,100 g di gamberetti,gamberetti,100 g,gamberetti,gamberetti,67
976,150 g di totani,150 g di totani,totani,150 g,totani,totani,16
977,6 scampi,6 scampi,scampi,6,scampi,scampi,60
978,2 spicchi di aglio,2 spicchi di aglio,aglio,2 spicchi,aglio,aglio,2572
979,300 g di polpa di pomodoro,300 g di polpa di pomodoro,polpa di pomodoro,300 g,polpa di pomodoro,polpa di pomodoro,49
980,3 cucchiai di olio extravergine di oliva,3 cucchiai di olio extravergine di oliva,olio extravergine di oliva,3 cucchiai,olio extravergine di oliva,olio extravergine d'oliva,4337
981,6 fette di pane casereccio,6 fette di pane casereccio,pane casereccio,6 fette,pane casereccio,pane casereccio,96
982,12 scampi grandi sgusciati,12 scampi grandi sgusciati,scampi,12,scampi,scampi,60
983,2 cucchiai di pangrattato,2 cucchiai di pangrattato,pangrattato,2 cucchiai,pangrattato,pangrattato,834
984,500 gr di trippa,500 gr di trippa,trippa,500 gr,trippa,trippa,21
985,500 gr di cipolle,500 gr di cipolle,cipolle,500 gr,cipolle,cipolla,1415
986,sugna,sugna,sugna,,sugna,sugna,4
987,2 litri di brodo di carne,2 litri di brodo di carne,brodo di carne,2 litri,brodo di carne,brodo di carne,219
988,150 gr parmigiano,150 gr parmigiano,parmigiano,150 gr,parmigiano,parmigiano reggiano dop,1291
989,800 g di farina,800 g di farina,farina,800 g,farina,farina,2121
990,1 cubetto di lievito di birra,1 cubetto di lievito di birra,lievito di birra,1 cubetto,lievito di birra,lievito di birra,364
991,150 g olive nere,150 g olive nere,olive nere,150 g,olive nere,olive nere,244
992,450 g di polpa di pomodoro o passata,450 g di polpa di pomodoro,polpa di pomodoro,450 g,polpa di pomodoro,polpa di pomodoro,49
993,1 cucchiaio di origano,1 cucchiaio di origano,origano,1 cucchiaio,origano,origano,397
994,1 cucchiaio di capperi sotto sale,1 cucchiaio di capperi sotto sale,capperi sotto sale,1 cucchiaio,capperi sotto sale,capperi,366
995,300 gr zucca,300 gr zucca,zucca,300 gr,zucca,zucca,226
996,1 kg di puntarelle,1 kg di puntarelle,puntarelle,1 kg,puntarelle,puntarelle,7
997,5 filetti di acciughe salate,5 filetti di acciughe salate,filetti acciughe salate,5,filetti acciughe,acciughe,403
998,150 g di farina,150 g di farina,farina,150 g,farina,farina,2121
999,500 g di pesto,500 g di pesto,pesto,500 g,pesto,pesto,24
1000,"2,5 dl di besciamella","2,5 dl di besciamella",besciamella,"2,5 dl",besciamella,besciamella,110
1001,1 pizzico di zucchero,1 pizzico di zucchero,zucchero,1 pizzico,zucchero,zucchero,4949
1002,2 cucchiai d'olio extravergine d'oliva,2 cucchiai d'olio extravergine d'oliva,olio extravergine d'oliva,2 cucchiai,olio extravergine d'oliva,olio extravergine d'oliva,4337
1003,2 cucchiai di grana grattugiato,2 cucchiai di grana grattugiato,grana,2 cucchiai,grana,grana padano dop,591
1004,8 patate,8 patate,patate,8,patate,patate,1000
1005,400 gr di polpa di pomodoro,400 gr di polpa di pomodoro,polpa di pomodoro,400 gr,polpa di pomodoro,polpa di pomodoro,49
1006,200 gr di olive nere,200 gr di olive nere,olive nere,200 gr,olive nere,olive nere,244
1007,50 gr di uvetta sultanina,50 gr di uvetta sultanina,uvetta sultanina,50 gr,uvetta sultanina,uva passa,87
1008,400 gr di zucchine (chicocce),400 gr di zucchine,zucchine,400 gr,zucchine,zucchine,654
1009,400 gr di patate,400 gr di patate,patate,400 gr,patate,patate,1000
1010,600 gr di trippa,600 gr di trippa,trippa,600 gr,trippa,trippa,21
1011,200 gr di fagioli bianchi,200 gr di fagioli bianchi,fagioli bianchi,200 gr,fagioli,fagioli,87
1012,60 gr di pancetta,60 gr di pancetta,pancetta,60 gr,pancetta,pancetta,245
1013,salsa di pomodoro,salsa di pomodoro,salsa di pomodoro,,salsa di pomodoro,salsa di pomodoro,90
1014,350 g di riso,350 g di riso,riso,350 g,riso,riso,289
1015,100 g di castagne secche,100 g di castagne secche,castagne secche,100 g,castagne secche,castagne secche,6
1016,2 cucchiai di farina 00,2 cucchiai di farina 00,farina,2 cucchiai,farina,farina,2121
1017,"1,5 l di latte","1,5 l di latte",latte,"1,5 l",latte,latte,2242
1018,180 gr di zucchero,180 gr di zucchero,zucchero,180 gr,zucchero,zucchero,4949
1019,260 gr di latte,260 gr di latte,latte,260 gr,latte,latte,2242
1020,10 gr di ammoniaca,10 gr di ammoniaca,ammoniaca,10 gr,ammoniaca,ammoniaca,15
1021,cannella macinata,cannella macinata,cannella,,cannella,cannella,499
1022,1 cotechino di circa 500 g,1 cotechino,cotechino,1,cotechino,cotechino,29
1023,1 fetta di punta di vitella larga e sottile del peso di circa 400 g,1 fetta di punta di vitella larga,punta di vitella,1 fetta,puntarelle,carne di bovino,492
1024,1 larga fetta di prosciutto crudo di 100 g circa,1 larga fetta di prosciutto crudo di 100 g circa,prosciutto crudo,1 fetta di 100,prosciutto crudo,prosciutto crudo,182
1025,1/2 di brodo di carne,1/2 di brodo di carne,brodo di carne,1/2,brodo di carne,brodo di carne,219
1026,1/2 di vino lambrusco secco,1/2 di vino lambrusco secco,vino lambrusco secco,1/2,vino,vino,43
1027,3-4 cucchiai di olio d'oliva,3-4 cucchiai di olio d'oliva,olio d'oliva,3 - 4 cucchiai,olio d'oliva,olio d'oliva,122
1028,poco sale,poco sale,poco sale,,poco sale,sale,9693
1029,350 di fagioli cannellini secchi,350 di fagioli cannellini secchi,fagioli cannellini secchi,350,fagioli cannellini secchi,fagioli cannellini,61
1030,350 gr di polpa di pomodoro,350 gr di polpa di pomodoro,polpa di pomodoro,350 gr,polpa di pomodoro,polpa di pomodoro,49
1031,150 gr di cotenne di prosciutto,150 gr di cotenne di prosciutto,cotenne di prosciutto,150 gr,cotenne di maiale,cotenna di suino,25
1032,1 cucchiaio di olio di oliva,1 cucchiaio di olio di oliva,olio di oliva,1 cucchiaio,olio di oliva,olio d'oliva,122
1033,1 osso di prosciutto,1 osso di prosciutto,osso di prosciutto,1,osso di prosciutto,osso di prosciutto,3
1034,500 g di funghi,500 g di funghi,funghi,500 g,funghi,funghi,48
1035,1/2 bicchiere di panna,1/2 bicchiere di panna,panna,1/2 bicchiere,panna,panna fresca,1860
1036,350 gr di farina di grano,350 gr di farina di grano,farina di grano,350 gr,farina di grano,farina,2121
1037,150 gr di farina di granturco,150 gr di farina di granturco,farina di granturco,150 gr,farina,farina,2121
1038,"400 gr di macinato misto di manzo, maiale, agnello","400 gr di macinato misto di manzo, maiale, agnello","macinato misto di manzo , maiale ,",400 gr,macinato di maiale,macinato di suino,21
1039,100 gr di pecorino macinato,100 gr di pecorino macinato,pecorino macinato,100 gr,pecorino,pecorino,519
1040,400 gr di maccheroni,400 gr di maccheroni,maccheroni,400 gr,maccheroni,maccheroni,25
1041,200 gr di ricotta di pecora,200 gr di ricotta di pecora,ricotta di pecora,200 gr,ricotta di pecora,ricotta di pecora,63
1042,1 zampone,1 zampone,zampone,1,zampone,zampone,2
1043,500 gr di lenticchie,500 gr di lenticchie,lenticchie,500 gr,lenticchie,lenticchie,49
1044,150 gr di mascarpone,150 gr di mascarpone,mascarpone,150 gr,mascarpone,mascarpone,213
1045,erba cipollina,erba cipollina,erba cipollina,,erba cipollina,erba cipollina,367
1046,200 gr di sale grosso,200 gr di sale grosso,sale,200 gr,sale,sale,9693
1047,1 cucchiaino di semi di anice,1 cucchiaino di semi di anice,semi di anice,1 cucchiaino,semi di anice,semi,107
1048,500 gr di farina 00,500 gr di farina 00,farina,500 gr,farina,farina,2121
1049,125 gr di zucchero,125 gr di zucchero,zucchero,125 gr,zucchero,zucchero,4949
1050,75 gr di burro,75 gr di burro,burro,75 gr,burro,burro,4606
1051,3 tuorli,3 tuorli,tuorli,3,tuorli,tuorli,1385
1052,50 gr di lievito di birra,50 gr di lievito di birra,lievito di birra,50 gr,lievito di birra,lievito di birra,364
1053,1-2 cucchiai di rum,1-2 cucchiai di rum,rum,1 - 2 cucchiai,rum,rum,218
1054,1/2 cucchiaino di sale,1/2 cucchiaino di sale,sale,1/2 cucchiaino,sale,sale,9693
1055,1 albume,1 albume,albume,1,albume,albumi,436
1056,200 g di farina di mais,200 g di farina di mais,farina di mais,200 g,farina di mais,farina di mais,144
1057,1.5 l di latte,1.5 l di latte,latte,1.5 l,latte,latte,2242
1058,220 g di farina di mais fumetto,220 g di farina di mais fumetto,farina di mais,220 g,farina di mais,farina di mais,144
1059,150 g di farina 00,150 g di farina 00,farina,150 g,farina,farina,2121
1060,50 g di strutto,50 g di strutto,strutto,50 g,strutto,strutto,134
1061,110 g di burro,110 g di burro,burro,110 g,burro,burro,4606
1062,100 g di uvetta,100 g di uvetta,uvetta,100 g,uvetta,uvetta,220
1063,1/2 bicchiere di grappa,1/2 bicchiere di grappa,grappa,1/2 bicchiere,grappa,grappa,56
1064,100 gr di farina tipo 00,100 gr di farina tipo 00,farina tipo 00,100 gr,farina,farina 00,1803
1065,100 gr di burro,100 gr di burro,burro,100 gr,burro,burro,4606
1066,1 kg di biete,1 kg di biete,biete,1 kg,biete,biete,64
1067,65 gr di burro,65 gr di burro,burro,65 gr,burro,burro,4606
