,Ingredient,Pre-NER,NER-Ingredient,NER-Amount,Post-NER,Normalization (by-hand),Def,Freq,,,,,
3457,200 g di fontina,200 g di fontina,fontina,200 g,fontina,fontina,fontina,155,,,,,
3458,nocciole (sbucciate e tostate),nocciole,nocciole,,nocciole,nocciole,nocciole,164,,,,,
3459,zucchero bianco,zucchero bianco,zucchero bianco,,zucchero bianco,zucchero bianco,zucchero,4949,,,,,
3460,tuorli,tuorli,tuorli,,tuorli,tuorli,tuorli,1385,,,,,
3461,1 kg e 500 g di patate,1 kg e 500 g di patate,patate,1 kg e 500 g,patate,patate,patate,1000,,,,,
3462,100 g di formaggio grattugiato,100 g di formaggio grattugiato,formaggio,100 g,formaggio,formaggio,formaggio,264,,,,,
3463,150 g di mozzarella,150 g di mozzarella,mozzarella,150 g,mozzarella,mozzarella,mozzarella,264,,,,,
3464,100 g di salame,100 g di salame,salame,100 g,salame,salame,salame,59,,,,,
3465,80 g di provola affumicata,80 g di provola affumicata,provola affumicata,80 g,provola affumicata,provola affumicata,provola affumicata,31,,,,,
3466,300 gr di patate di montagna o “vecchie”,300 gr di patate di montagna o “vecchie,patate di montagna,300 gr,patate di montagna,patate,patate,1000,,,,,
3467,60/70 gr di farina 00,60/70 gr di farina 00,farina,60/70 gr,farina,farina,farina,2121,,,,,
3468,30 gr di ricotta,30 gr di ricotta,ricotta,30 gr,ricotta,ricotta,ricotta,324,,,,,
3469,40 gr parmigiano reggiano,40 gr parmigiano reggiano,parmigiano reggiano,40 gr,parmigiano reggiano,parmigiano reggiano,parmigiano reggiano dop,1291,,,,,
3470,80 gr di bietina sbollentata e strizzata,80 gr di bietina sbollentata e strizzata,bietina sbollentata,80 gr,bietina,bietina,biete,64,,,,,
3471,qb noce moscata,qb noce moscata,moscata,qb noce,,,,,,,,,
3472,250 g di panna,250 g di panna,panna,250 g,panna,panna,panna fresca,1860,,,,,
3473,qualche goccia di limone,qualche goccia di limone,limone,qualche goccia,limone,limone,limone,1394,,,,,
3474,1 cestello di fragole,1 cestello di fragole,fragole,1 cestello,fragole,fragole,fragole,249,,,,,
3475,petto di 1 cappone,petto di 1 cappone,petto cappone,1,petto cappone,petto d'anatra,carne,44,,,,,
3476,1 cespo d’insalata verde,1 cespo d'insalata verde,d' insalata verde,1 cespo,insalata verde,insalata verde,insalata,75,,,,,
3477,30 g di uvetta sultanina,30 g di uvetta sultanina,uvetta sultanina,30 g,uvetta sultanina,uvetta sultanina,uva passa,87,,,,,
3478,costa di sedano,costa di sedano,sedano,,sedano,sedano,sedano,796,,,,,
3479,1/2 dl di rum,1/2 dl di rum,rum,1/2 dl,rum,rum,rum,218,,,,,
3480,3-4 cucchiai d’aceto,3-4 cucchiai d'aceto,d' aceto,3 - 4 cucchiai,aceto,aceto,aceto,528,,,,,
3481,1 dl circa d’olio,1 dl circa d'olio,d' olio,1 dl,olio,olio,olio,2191,,,,,
3482,mostarda di pere,mostarda di pere,mostarda di pere,,mostarda di pere,mostarda di frutta,mostarda di frutta,10,,,,,
3483,200 g di lattuga,200 g di lattuga,lattuga,200 g,lattuga,lattuga,lattuga,112,,,,,
3484,3 uova sode,3 uova sode,uova sode,3,uova sode,uova sode,uova sode,50,,,,,
3485,1 piccolo avocado maturo,1 piccolo avocado maturo,avocado,1,avocado,avocado,avocado,136,,,,,
3486,2 cucchiai di aceto bianco,2 cucchiai di aceto bianco,aceto bianco,2 cucchiai,aceto bianco,aceto bianco,aceto,528,,,,,
3487,600 g di polpa di zucca,600 g di polpa di zucca,polpa di zucca,600 g,zucca,zucca,zucca,226,,,,,
3488,1 kg di zucca gialla,1 kg di zucca gialla,zucca gialla,1 kg,zucca gialla,zucca gialla,zucca gialla,20,,,,,
3489,farina di grano 0,farina di grano 0,farina di grano 0,,farina di grano 0,farina,farina 0,181,,,,,
3490,1 cucchiaio di olio evo,1 cucchiaio di olio evo,olio evo,1 cucchiaio,olio evo,olio evo,olio extravergine d'oliva,4337,,,,,
3491,1 tazzina di brandy molto secco,1 tazzina di brandy molto secco,brandy molto secco,1 tazzina,brandy molto secco,brandy,brandy,122,,,,,
3492,200 g di fegatini di pollo,200 g di fegatini di pollo,fegatini di pollo,200 g,fegatini di pollo,fegatini di pollo,fegatini di pollo,39,,,,,
3493,250 g di ceci in lattina,250 g di ceci,ceci,250 g,ceci,ceci,ceci secchi,72,,,,,
3494,1/2 baguette,1/2 baguette,baguette,1/2,baguette,baguette,baguette,23,,,,,
3495,erbe di Provenza essiccate,erbe di provenza essiccate,erbe di provenza,,erbe di provenza,erbe,erbe aromatiche,70,,,,,
3496,2 kg di castagne,2 kg di castagne,castagne,2 kg,castagne,castagne,castagne,56,,,,,
3497,1 kg e 750 g di zucchero,1 kg e 750 g di zucchero,zucchero,1 kg e 750 g,zucchero,zucchero,zucchero,4949,,,,,
3498,2 dl di rum,2 dl di rum,rum,2 dl,rum,rum,rum,218,,,,,
3499,12 fettine sottili di salmone,12 fettine sottili di salmone,salmone,12 fettine,salmone,salmone,salmone,173,,,,,
3500,4-6 zucchine,4-6 zucchine,zucchine,4 - 6,zucchine,zucchine,zucchine,654,,,,,
3501,3 fili d’erba cipollina,3 fili d'erba cipollina,d' erba cipollina,3 fili,erba cipollina,erba cipollina,erba cipollina,367,,,,,
3502,1 pezzetto di radice di zenzero fresco,1 pezzetto di radice di zenzero fresco,radice di zenzero,1 pezzetto,radice di zenzero,radice di zenzero,zenzero,285,,,,,
3503,800 g circa di salmone fresco,800 g circa di salmone fresco,salmone,800 g,salmone,salmone,salmone,173,,,,,
3504,privato di pelle e lische,privato di pelle e lische,pelle,privato,pelle,pelle,pelle,1,,,,,
3505,1 fetta di pane fresco,1 fetta di pane fresco,pane,1 fetta,pane,pane,pane,363,,,,,
3506,2 cipollotti tritati,2 cipollotti tritati,cipollotti tritati,2,cipollotti tritati,cipollotti,cipollotto fresco,296,,,,,
3507,2 cucchiai d’aneto tritato,2 cucchiai d'aneto tritato,d' aneto,2 cucchiai,aneto,aneto,aneto,105,,,,,
3508,1 cucchiaio d’aceto di mele,1 cucchiaio d'aceto di mele,d' aceto di mele,1 cucchiaio,aceto di mele,aceto di mele,aceto di mele,91,,,,,
3509,2-3 pomodori molto maturi,2-3 pomodori molto maturi,pomodori,2 - 3,pomodori,pomodori,pomodori,634,,,,,
3510,1 cucchiaio di aneto,1 cucchiaio di aneto,aneto,1 cucchiaio,aneto,aneto,aneto,105,,,,,
3511,10 g di burro,10 g di burro,burro,10 g,burro,burro,burro,4606,,,,,
3512,4 fette di pane di segale ai cereali,4 fette di pane di segale ai cereali,pane di segale ai cereali,4 fette,pane di segale ai cereali,pane,pane,363,,,,,
3513,2 fette di prosciutto affumicato,2 fette di prosciutto affumicato,prosciutto affumicato,2 fette,prosciutto affumicato,prosciutto,prosciutto,22,,,,,
3514,1/2 verza,1/2 verza,verza,1/2,verza,verza,verza,78,,,,,
3515,2 cetrioli in salamoia,2 cetrioli,cetrioli,2,cetrioli,cetrioli,cetrioli,121,,,,,
3516,4 patate grosse,4 patate grosse,patate,4,patate,patate,patate,1000,,,,,
3517,40 g di tartufo nero,40 g di tartufo nero,tartufo nero,40 g,tartufo nero,tartufo nero,tartufo nero,44,,,,,
3518,40 g di acciughe,40 g di acciughe,acciughe,40 g,acciughe,acciughe,acciughe,403,,,,,
3519,120 g di panna fresca,120 g di panna fresca,panna fresca,120 g,panna fresca,panna fresca,panna fresca,1860,,,,,
3520,120 g di farina 00,120 g di farina 00,farina,120 g,farina,farina,farina,2121,,,,,
3521,50 g di burro fuso,50 g di burro fuso,burro,50 g,burro,burro,burro,4606,,,,,
3522,5 uova a temperatura ambiente,5 uova,uova,5,uova,uova,uova,3872,,,,,
3523,100 g di pancetta tritata,100 g di pancetta tritata,pancetta,100 g,pancetta,pancetta,pancetta,245,,,,,
3524,1/2 bicchiere d'acqua tiepida,1/2 bicchiere d'acqua tiepida,d' acqua,1/2 bicchiere,acqua,acqua,acqua,1976,,,,,
3525,150 g di robiola fresca,150 g di robiola fresca,robiola fresca,150 g,robiola fresca,robiola,robiola,98,,,,,
3526,350 g di pisellini sgranati,350 g di pisellini sgranati,pisellini sgranati,350 g,pisellini sgranati,pisellini,piselli,302,,,,,
3527,100 g di pancetta tesa,100 g di pancetta tesa,pancetta,100 g,pancetta,pancetta,pancetta,245,,,,,
3528,250 g di penne rigate integrali biologiche,250 g di penne rigate integrali biologiche,penne rigate integrali biologiche,250 g,penne rigate integrali biologiche,penne,penne,104,,,,,
3529,2 finocchi,2 finocchi,finocchi,2,finocchi,finocchi,finocchi,98,,,,,
3530,30 g di pangrattato,30 g di pangrattato,pangrattato,30 g,pangrattato,pangrattato,pangrattato,834,,,,,
3531,1 kg di pescestocco ammollato,1 kg di pescestocco ammollato,pescestocco ammollato,1 kg,pesce stocco,pesce,pesce,29,,,,,
3532,1 kg di pomodori San Marzano,1 kg di pomodori san marzano,pomodori san marzano,1 kg,pomodori san marzano,pomodori san marzano,pomodori san marzano,31,,,,,
3533,100 g di olive bianche in salamoia e denocciolate,100 g di olive bianche,olive bianche,100 g,olive bianche,olive,olive,72,,,,,
3534,4 mazzancolle,4 mazzancolle,mazzancolle,4,mazzancolle,mazzancolle,mazzancolle,31,,,,,
3535,1 cuore di lattuga,1 cuore di lattuga,lattuga,1,lattuga,lattuga,lattuga,112,,,,,
3536,120 g di farina di grano saraceno,120 g di farina di grano saraceno,farina di grano saraceno,120 g,farina di grano saraceno,farina di grano saraceno,farina di grano saraceno,59,,,,,
3537,latte.,latte.,latte,,latte,latte,latte,2242,,,,,
3538,1 patata grande,1 patata grande,patata,1,patata,patata,patate,1000,,,,,
3539,1/4 di verza,1/4 di verza,verza,1/4,verza,verza,verza,78,,,,,
3540,250 g di bietola o di spinaci,250 g di bietola o di spinaci,bietola,250 g,bietola,bietole,biete,64,,,,,
3541,4-5 foglie di salvia,4-5 foglie di salvia,salvia,4 - 5 foglie,salvia,salvia,salvia,484,,,,,
3542,150 g di formaggio tra bitto e casera,150 g di formaggio tra bitto e casera,formaggio bitto,150 g,formaggio bitto,formaggio,formaggio,264,,,,,
3543,Grana Padano grattugiato,grana padano grattugiato,grana padano,,grana padano,grana padano,grana padano dop,591,,,,,
3544,1 pollo,1 pollo,pollo,1,pollo,pollo,carne di pollo,350,,,,,
3545,4 cucchiai d'olio,4 cucchiai d'olio,d' olio,4 cucchiai,olio,olio,olio,2191,,,,,
3546,100 g di grana padano grattugiato,100 g di grana padano grattugiato,grana padano,100 g,grana padano,grana padano,grana padano dop,591,,,,,
3547,1 barattolo di polpa di pomodoro da 400 g,1 barattolo di polpa di pomodoro da 400 g,polpa di pomodoro,1 barattolo,pomodoro,pomodoro,pomodori,634,,,,,
3548,1 cucchiaio di cipolla tritata (anche surgelata),1 cucchiaio di cipolla tritata,cipolla,1 cucchiaio,cipolla,cipolla,cipolla,1415,,,,,
3549,100 g polpa di merluzzo fresco o nasello,100 g polpa di merluzzo fresco o nasello,polpa di merluzzo,100 g,merluzzo,merluzzo,merluzzo,49,,,,,
3550,1 grossa patata,1 grossa patata,patata,1,patata,patata,patate,1000,,,,,
3551,1 cucchiaio di pangrattato,1 cucchiaio di pangrattato,pangrattato,1 cucchiaio,pangrattato,pangrattato,pangrattato,834,,,,,
3552,220 g di brodo vegetale,220 g di brodo vegetale,brodo vegetale,220 g,brodo vegetale,brodo vegetale,brodo vegetale,571,,,,,
3553,400 g di cuori di finocchio,400 g di cuori di finocchio,finocchio,400 g,finocchio,finocchio,finocchi,98,,,,,
3554,320 g di riso Parboiled,320 g di riso parboiled,riso parboiled,320 g,riso parboiled,riso parboiled,riso,289,,,,,
3555,150 g di piselli,150 g di piselli,piselli,150 g,piselli,piselli,piselli,302,,,,,
3556,150 g di cuori di carciofo,150 g di cuori di carciofo,carciofo,150 g,carciofo,carciofo,carciofi,222,,,,,
3557,zenzero in polvere,zenzero,zenzero,,zenzero,zenzero,zenzero,285,,,,,
3558,1/2 cucchiaino di zucchero semolato,1/2 cucchiaino di zucchero semolato,zucchero semolato,1/2 cucchiaino,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
3559,110 g di burro ben freddo,110 g di burro ben freddo,burro,110 g,burro,burro,burro,4606,,,,,
3560,30-50 ml di acqua ghiacciata,30-50 ml di acqua ghiacciata,acqua,30 - 50 ml,acqua,acqua,acqua,1976,,,,,
3561,1 cucchiaino di aceto di mele,1 cucchiaino di aceto di mele,aceto di mele,1 cucchiaino,aceto di mele,aceto di mele,aceto di mele,91,,,,,
3562,400-500 g di polpa di zucca mantovana,400-500 g di polpa di zucca mantovana,zucca mantovana,400 - 500 g,zucca mantovana,zucca mantovana,zucca mantovana,23,,,,,
3563,80 g di zucchero di canna,80 g di zucchero di canna,zucchero di canna,80 g,zucchero di canna,zucchero di canna,zucchero di canna,547,,,,,
3564,2 cucchiaini di cannella in polvere,2 cucchiaini di cannella,cannella,2 cucchiaini,cannella,cannella,cannella,499,,,,,
3565,1 cucchiaino di zenzero in polvere,1 cucchiaino di zenzero,zenzero,1 cucchiaino,zenzero,zenzero,zenzero,285,,,,,
3566,1/4 di cucchiaino di noce moscata,1/4 di cucchiaino di noce moscata,noce moscata,1/4 di cucchiaino,noce moscata,noce moscata,noce moscata,356,,,,,
3567,1/8 di cucchiaino di chiodi di garofano in polvere,1/8 di cucchiaino di chiodi di garofano,chiodi di garofano,1/8 di cucchiaino,chiodi di garofano,chiodi di garofano,chiodi di garofano,180,,,,,
3568,180 ml di latte intero,180 ml di latte intero,latte intero,180 ml,latte,latte,latte,2242,,,,,
3569,3 uova grandi,3 uova grandi,uova,3,uova,uova,uova,3872,,,,,
3570,200 g di riso Arborio o Roma,200 g di riso arborio o roma,riso arborio,200 g,riso arborio,riso arborio,riso arborio,37,,,,,
3571,150 g di erbette,150 g di erbette,erbette,150 g,erbette,erbette,erbette,30,,,,,
3572,1 piccola carota,1 piccola carota,carota,1,carota,carota,carote,1077,,,,,
3573,1 piccola costa di sedano,1 piccola costa di sedano,sedano,1 costa,sedano,sedano,sedano,796,,,,,
3574,1/2 porro,1/2 porro,porro,1/2,porro,porro,porri,299,,,,,
3575,30  g di parmigiano reggiano grattugiato,30 g di parmigiano reggiano grattugiato,parmigiano reggiano,30 g,parmigiano reggiano,parmigiano reggiano,parmigiano reggiano dop,1291,,,,,
3576,250 g di farina auto lievitante,250 g di farina auto lievitante,farina auto lievitante,250 g,farina auto lievitante,farina,farina,2121,,,,,
3577,45 g di burro morbido,45 g di burro morbido,burro,45 g,burro,burro,burro,4606,,,,,
3578,1 cucchiaio e ½ di zucchero semolato,1 cucchiaio e 1/2 di zucchero semolato,zucchero semolato,1 cucchiaio e 1/2,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
3579,110 ml di latte,110 ml di latte,latte,110 ml,latte,latte,latte,2242,,,,,
3580,500 g di patate bianche o rosse,500 g di patate bianche o rosse,patate bianche,500 g,patate bianche,patate,patate,1000,,,,,
3581,"500 g di spinaci lessati (1, 5 kg freschi)",500 g di spinaci lessati,spinaci,500 g,spinaci,spinaci,spinaci,245,,,,,
3582,350 g di salsa di pomodoro,350 g di salsa di pomodoro,salsa di pomodoro,350 g,salsa di pomodoro,salsa di pomodoro,salsa di pomodoro,90,,,,,
3583,50 g di grana padano grattugiato,50 g di grana padano grattugiato,grana padano,50 g,grana padano,grana padano,grana padano dop,591,,,,,
3584,200 g di filetto di salmone,200 g di filetto di salmone,filetto di salmone,200 g,filetto di salmone,filetto di salmone,salmone,173,,,,,
3585,2 limoni piccoli,2 limoni piccoli,limoni,2,limoni,limoni,limone,1394,,,,,
3586,1 pizzico di zafferano in pistilli,1 pizzico di zafferano,zafferano,1 pizzico,zafferano,zafferano,zafferano,177,,,,,
3587,1 pizzico di peperoncino piccante in polvere,1 pizzico di peperoncino piccante,peperoncino piccante,1 pizzico,peperoncino piccante,peperoncino piccante,peperoncino piccante,44,,,,,
3588,1 cucchiaino di miele di acacia,1 cucchiaino di miele di acacia,miele di acacia,1 cucchiaino,miele di acacia,miele di acacia,miele di acacia,82,,,,,
3589,3/4 di panna,3/4 di panna,3/4 panna,,panna,panna,panna fresca,1860,,,,,
3590,250 gr di pasta sfoglia,250 gr di pasta sfoglia,pasta sfoglia,250 gr,pasta sfoglia,pasta sfoglia,pasta sfoglia,239,,,,,
3591,600 g di farina,600 g di farina,farina,600 g,farina,farina,farina,2121,,,,,
3592,250 g di miele,250 g di miele,miele,250 g,miele,miele,miele,335,,,,,
3593,100 g di scorzette d’arancia candita,100 g di scorzette d'arancia candita,scorzette d' arancia candita,100 g,scorzette d'arancia candita,scorzette d'arancia candita,arancia candita,60,,,,,
3594,100 g di cedro candito,100 g di cedro candito,cedro candito,100 g,cedro candito,cedro candito,cedro candito,34,,,,,
3595,3 arance,3 arance,arance,3,arance,arance,arance,358,,,,,
3596,50 g di strutto,50 g di strutto,strutto,50 g,strutto,strutto,strutto,134,,,,,
3597,1/2 bicchiere di panna,1/2 bicchiere di panna,panna,1/2 bicchiere,panna,panna,panna fresca,1860,,,,,
3598,2 fette di prosciutto cotto,2 fette di prosciutto cotto,prosciutto cotto,2 fette,prosciutto cotto,prosciutto cotto,prosciutto cotto,324,,,,,
3599,200 g di piselli sgusciati,200 g di piselli sgusciati,piselli,200 g,piselli,piselli,piselli,302,,,,,
3600,12 cl di panna,12 cl di panna,panna,12 cl,panna,panna,panna fresca,1860,,,,,
3601,25 g di miele di acacia,25 g di miele di acacia,miele di acacia,25 g,miele di acacia,miele di acacia,miele di acacia,82,,,,,
3602,2 cucchiai di birra,2 cucchiai di birra,birra,2 cucchiai,birra,birra,birra,103,,,,,
3603,6 strisce di pasta all'uovo 10 x 30 cm,6 strisce di pasta all'uovo 10 x 30 cm,strisce di pasta all' uovo,6 10 x 30 cm,pasta all'uovo,pasta all'uovo,pasta all'uovo,32,,,,,
3604,1 kg di zucchine,1 kg di zucchine,zucchine,1 kg,zucchine,zucchine,zucchine,654,,,,,
3605,250 ml di besciamella,250 ml di besciamella,besciamella,250 ml,besciamella,besciamella,besciamella,110,,,,,
3606,250 g di ricotta romana,250 g di ricotta romana,ricotta romana,250 g,ricotta romana,ricotta romana,ricotta,324,,,,,
3607,25 g di foglie di basilico,25 g di foglie di basilico,basilico,25 g,basilico,basilico,basilico,944,,,,,
3608,200 g di rigaglie di pollo,200 g di rigaglie di pollo,rigaglie di pollo,200 g,rigaglie di pollo,rigaglie di pollo,carne di pollo,350,,,,,
3609,100 g di salsiccia,100 g di salsiccia,salsiccia,100 g,salsiccia,salsiccia,salsiccia,225,,,,,
3610,30 g di funghi secchi,30 g di funghi secchi,funghi secchi,30 g,funghi secchi,funghi secchi,funghi secchi,48,,,,,
3611,1 mozzarella,1 mozzarella,mozzarella,1,mozzarella,mozzarella,mozzarella,264,,,,,
3612,1 cucchiaio e 1/2 di amido di mais,1 cucchiaio e 1/2 di amido di mais,amido di mais,1 cucchiaio e 1/2,amido di mais,amido di mais,amido di mais,322,,,,,
3613,1 bustina di zucchero a velo,1 bustina di zucchero,zucchero,1 bustina,zucchero,zucchero,zucchero,4949,,,,,
3614,1 kg di cicoria selvatica,1 kg di cicoria selvatica,cicoria selvatica,1 kg,cicoria selvatica,cicoria,cicoria,37,,,,,
3615,2 scamorze,2 scamorze,scamorze,2,scamorze,scamorza,scamorza,97,,,,,
3616,3 fette di prosciutto crudo,3 fette di prosciutto crudo,prosciutto crudo,3 fette,prosciutto crudo,prosciutto crudo,prosciutto crudo,182,,,,,
3617,40 g di pecorino,40 g di pecorino,pecorino,40 g,pecorino,pecorino,pecorino,519,,,,,
3618,3 pomodori pelati,3 pomodori pelati,pomodori pelati,3,pomodori pelati,pomodori pelati,pomodori pelati,196,,,,,
3619,150 g di cioccolato fondente extrabitter,150 g di cioccolato fondente extrabitter,cioccolato fondente extrabitter,150 g,cioccolato fondente extrabitter,cioccolato,cioccolato fondente,833,,,,,
3620,1 cocco,1 cocco,cocco,1,cocco,cocco,cocco,45,,,,,
3621,150 di savoiardi,150 di savoiardi,savoiardi,150,savoiardi,savoiardi,savoiardi,82,,,,,
3622,4 dl di latte di cocco,4 dl di latte di cocco,latte di cocco,4 dl,latte di cocco,latte di cocco,latte di cocco,57,,,,,
3623,50 g di zucchero semolato finissimo,50 g di zucchero semolato finissimo,zucchero semolato finissimo,50 g,zucchero semolato,zucchero semolato,zucchero,4949,,,,,
3624,250 g di mandorle pelate,250 g di mandorle pelate,mandorle pelate,250 g,mandorle pelate,mandorle pelate,mandorle pelate,146,,,,,
3625,1 cucchiaino di fecola,1 cucchiaino di fecola,fecola,1 cucchiaino,fecola,fecola,fecola di patate,233,,,,,
